domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
09xy.sk,WEBG-0001,ALL4-0004,OK,norm.ns.cloudflare.com,sara.ns.cloudflare.com,,,19.02.2021
2cosmetics.sk,WEBG-0001,WY-111497,OK,ns1.trailslash.com,ns2.trailslash.com,ns3.trailslash.com,ns4.trailslash.com,30.06.2020
2sis.sk,WEBG-0001,WY-112233,OK,ns1.trailslash.com,ns2.trailslash.com,ns3.trailslash.com,ns4.trailslash.com,17.04.2024
absalon.sk,UXSO-0001,H691259,OK,mona.ns.cloudflare.com,amit.ns.cloudflare.com,,,03.03.2021
abuba.sk,QDIG-0003,RMSK-0048,OK,ns1.q7.sk,ns2.q7.sk,,,17.04.2022
active-flora.sk,ZONE-0002,ZONERSK-1008935,OK,ns1.regzone.cz,ns1.regzone.info,ns1.regzone.de,,28.03.2020
activeflora.sk,ZONE-0002,ZONERSK-1008935,OK,ns1.regzone.cz,ns1.regzone.info,ns1.regzone.de,,28.03.2020
afl.sk,ZONE-0002,BMTS-0002,OK,ns1.slovaknet.sk,ns2.slovnet.com,,,03.11.2019
alfbook.sk,REG-379549,sub_1084994,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,22.08.2019
alfiada.sk,REG-379549,PCPR-0999,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,14.03.2020
alfik.sk,REG-379549,sub_1084994,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,03.10.2019
all4shop.sk,WEBG-0001,ALL4-0004,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,05.03.2021
animuj.sk,REG-379549,sub_1084994,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,10.06.2019
asianaglobal.sk,SECU-0026,SECU-0026,OK,amit.ns.cloudflare.com,beth.ns.cloudflare.com,,,06.10.2019
assettravel.sk,CREO-0007,ASSETTRAVEL,OK,ns1.orion.creodat.net,ns2.orion.creodat.net,ns3.orion.creodat.net,,22.01.2020
astro.sk,TRON-0005,TRON-0005,OK,auriga.ta3.sk,sun.uakom.sk,cygnus.ta3.sk,lyra.ta3.sk,02.06.2020
auto-drogeria.sk,MART-2448,MART-2448,OK,ns0.1984.is,ns1.1984hosting.com,ns1.1984.is,ns2.1984hosting.com,31.07.2019
autodrogeria.sk,MART-2448,MART-2448,OK,ns0.1984.is,ns1.1984hosting.com,ns1.1984.is,ns2.1984hosting.com,31.07.2019
avipro.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,07.05.2020
breviar.sk,QDIG-0003,KONF-0001,OK,ns1.q7.sk,ns2.q7.sk,,,26.05.2019
brindza.sk,WEBS-0001,WS-12717,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,08.12.2019
budaj.sk,CREO-0007,PETER,OK,ns1.creodat.com,ns2.creodat.com,ns3.creodat.com,,02.11.2019
budajova.sk,CREO-0007,MARTINA,OK,ns1.creodat.com,ns2.creodat.com,ns3.creodat.com,,27.02.2020
catmedia.sk,QDIG-0003,CATM-0002,OK,ns1.q7.sk,ns2.q7.sk,,,28.04.2020
cattery.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,26.02.2020
catterymanager.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,26.02.2020
ceoi.sk,ZTRO-0001,ZTRO-0001,OK,ns-cloud-e1.googledomains.com,ns-cloud-e2.googledomains.com,ns-cloud-e3.googledomains.com,ns-cloud-e4.googledomains.com,26.01.2020
club-2400.sk,GRAN-0063CZ,sub_1134583,OK,ns1.hosting90.cz,ns2.hosting90.cz,ns3.hosting90.net,,16.05.2020
club2400.sk,GRAN-0063CZ,sub_1134583,OK,ns1.hosting90.cz,ns2.hosting90.cz,ns3.hosting90.net,,16.05.2020
creodat.sk,CREO-0007,PETER,OK,ns1.creodat.com,ns2.creodat.com,ns3.creodat.com,,07.06.2019
cyrilometodiana.sk,QDIG-0003,CHRI-0001,OK,ns1.q7.sk,ns2.q7.sk,,,29.04.2020
d1businesspark.sk,ZONE-0002,ZONERSK-1004315,OK,ns1.regzone.cz,ns1.regzone.info,ns1.regzone.de,,08.11.2019
danovepriznaniedph.sk,ELBI-0002,LIBE-0028,OK,jay.ns.cloudflare.com,liz.ns.cloudflare.com,,,02.02.2020
datax.sk,MARE-0397,MARE-0397,OK,gw5.datax.sk,gw6.datax.sk,,,17.08.2019
dcza.sk,QDIG-0003,H444881,OK,ns1.q7.sk,ns2.q7.sk,,,29.03.2020
dennikrelax.sk,QDIG-0003,TRAD-0012,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,02.12.2019
