ID reg,secure domains,insecure domains,percent secure
ISKI-0001,2878,19371,12.94
ELBI-0002,2354,2476,48.74
WEBS-0001,223,112428,0.2
GRAN-0063CZ,63,17791,0.35
WEBG-0001,46,36772,0.12
ZONE-0002,41,8514,0.48
NETH-0005,23,780,2.86
QDIG-0003,23,544,4.06
UXSO-0001,19,4,82.61
REG-379549,16,831,1.89
TOMI-0041,12,1,92.31
JOZE-2815,8,1,88.89
ACTI-0024,6,28760,0.02
AARI-0002,6,36,14.29
LEVO-0001,6,1,85.71
CREO-0007,5,25,16.67
ZERO-0008,5,24,17.24
MART-2448,5,0,100.0
MAYE-0003,5,0,100.0
SLOV-0006,4,3802,0.11
NAME-0004,4,65,5.8
SECU-0026,4,1,80.0
UNIV-0040,3,0,100.0
REG-361069,2,7336,0.03
PLAT-0008,2,2641,0.08
EURO-0005,2,2328,0.09
TRIT-0008,2,130,1.52
FAIL-0001,2,9,18.18
SLOV-1417,1,2169,0.05
CROO-0002,1,726,0.14
FUTU-0010,1,60,1.64
IUJH-0001,1,53,1.85
STUF-0001,1,29,3.33
SK-NIC,1,25,3.85
TREX-0001,1,25,3.85
MARE-0397,1,19,5.0
TECH-0064,1,15,6.25
RUPK-0001,1,10,9.09
SATR-0001,1,5,16.67
ZTRO-0001,1,5,16.67
SPRM-0001,1,4,20.0
TRON-0005,1,3,25.0
CGCI-0001,1,2,33.33
DIGI-0056,1,2,33.33
PCHS-0001,1,1,50.0
UNIV-0032,1,0,100.0
IPEK-0001,0,33212,0.0
EXOT-0004,0,17397,0.0
REG-366491,0,5860,0.0
ASYS-0003,0,5069,0.0
SWAN-0004,0,4504,0.0
WEBY-0002,0,3513,0.0
KEYS-1001,0,2648,0.0
EURO-1052,0,2443,0.0
EVAH-0016,0,1993,0.0
UNIT-0001,0,1570,0.0
SPEE-0025,0,1377,0.0
MARE-0015,0,1287,0.0
MARK-0292,0,1179,0.0
REG-366213,0,1015,0.0
NETI-0001,0,952,0.0
STAN-0022,0,941,0.0
LLAR-0001,0,777,0.0
1XIN-0004,0,761,0.0
JKMA-0001,0,750,0.0
RJAR-0001,0,684,0.0
REG-366265,0,663,0.0
MAMM-0001,0,586,0.0
REG-367149,0,567,0.0
UBOM-0334,0,565,0.0
REG-373801,0,548,0.0
COML-0001,0,538,0.0
WEBC-0006,0,513,0.0
FUEL-0002,0,502,0.0
REG-366501,0,454,0.0
SHOP-0007,0,454,0.0
ALL4-0004,0,437,0.0
DSID-0001,0,436,0.0
MYST-0008,0,435,0.0
SOFT-0061,0,428,0.0
RING-0001,0,401,0.0
REG-359369,0,399,0.0
NETR-0002,0,381,0.0
DATA-0008,0,381,0.0
