ID reg,count
UXSO-0001,19
QDIG-0003,12
JOZE-2815,9
GRAN-0063CZ,7
WEBG-0001,7
SECU-0026,5
CREO-0007,5
MART-2448,5
REG-379549,5
WEBS-0001,4
TOMI-0041,3
UNIV-0040,3
ZERO-0008,2
TRON-0005,1
ZTRO-0001,1
MARE-0397,1
FAIL-0001,1
REG-509429,1
DIGI-0056,1
NETH-0005,1
RUPK-0001,1
PCHS-0001,1
TREX-0001,1
STUF-0001,1
ZONE-0002,1
IUJH-0001,1
TOTAL,99
