domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
sanrajs.sk,WEBS-0001,WS-7218,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,18.11.2020
sansavi.sk,WEBS-0001,WS-23956,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,24.06.2020
sansavie.sk,WEBS-0001,WS-23956,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,24.06.2020
santavy.sk,QDIG-0003,PETE-0003,OK,ns1.q7.sk,ns2.q7.sk,,,27.03.2022
santazvp.sk,WEBS-0001,WS-3266,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,28.03.2020
sante.sk,WEBS-0001,WS-55578,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,30.10.2020
santialive.sk,ISKI-0001,FORPSI-S678875,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,03.11.2020
santiavr.sk,ISKI-0001,FORPSI-S678875,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,03.11.2020
santiax.sk,ISKI-0001,FORPSI-S678875,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,03.11.2020
santio.sk,WEBG-0001,DARE-0003-3959,OK,ns1.dnsbackup.net,ns2.dnsbackup.net,ns1.nameserver.sk,ns2.nameserver.sk,16.10.2020
santislovakia.sk,WEBS-0001,WS-22932,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,23.06.2020
santmartino.sk,ISKI-0001,FRES-0008,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,17.07.2020
santoro-london.sk,ELBI-0002,BLUE-0057,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,28.08.2020
santorolondon.sk,ELBI-0002,BLUE-0057,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,26.06.2020
sanui.sk,WEBS-0001,WS-60303,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,16.07.2020
sanum.sk,WEBS-0001,TOMH-0077,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,16.11.2020
sanuslife.sk,WEBS-0001,WS-9508,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,07.07.2020
sapa.sk,ISKI-0001,SAPA-0001,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,09.09.2020
sapehaes.sk,WEBS-0001,PEHA-0002,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.11.2020
sapko.sk,WEBS-0001,WS-4249,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,28.10.2020
sapkowski.sk,ZONE-0002,ZONERSK-1002796,OK,ns1.regzone.cz,ns1.regzone.info,ns1.regzone.de,,03.02.2020
sarkamilan.sk,WEBS-0001,WS-5077,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.11.2020
sarkazmus.sk,ISKI-0001,FORPSI-S563741,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,03.08.2020
sarosdesign.sk,ISKI-0001,FORPSI-S488391,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,18.06.2020
sarovce.sk,ISKI-0001,OBEC-0696-4623,OK,ns.forpsi.net,ns.forpsi.cz,ns.forpsi.it,,18.10.2020
sarpo.sk,ELBO-0005,SARP-0001,OK,ns.tenax.sk,ns.elbos.sk,,,08.11.2020
sarra.sk,WEBS-0001,WS-71775,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,06.08.2020
sasanka.sk,ELBI-0002,WS-10548,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,22.09.2020
