domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
roxordesignstore.sk,WEBS-0001,WS-3324,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,27.10.2020
roya.sk,ISKI-0001,FORPSI-S670950,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,28.07.2020
royal-langnickel.sk,ISKI-0001,MYHO-0004,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,09.08.2020
royalcocktails.sk,WEBS-0001,WS-56178,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.11.2020
royalfactory.sk,WEBS-0001,MICH-1545-4025,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,23.10.2020
royalgg.sk,WEBS-0001,WS-65365,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.04.2020
royalmedic.sk,WEBS-0001,WS-59427,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,26.06.2020
royalpenzion.sk,WEBS-0001,WS-11010,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,29.10.2020
royalspirits.sk,ISKI-0001,FORPSI-S648546,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,31.10.2020
royalstudy.sk,WEBS-0001,WS-53147,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,26.07.2020
