ID reg,secure domains,insecure domains,percent secure
WEBS-0001,85770,39535,68.45
WEBG-0001,13710,25255,35.19
INCZ-0001,8020,17795,31.07
GRAN-0063CZ,2620,14714,15.11
ELBI-0002,1952,2953,39.8
ZONE-0002,1103,7293,13.14
REG-366265,536,206,72.24
REG-379549,366,518,41.4
IPEK-0001,138,32109,0.43
K3GR-0001,134,44,75.28
GAYA-0001,119,52,69.59
REG-361069,112,9550,1.16
NETH-0005,106,723,12.79
Q1SK-0001,81,65,55.48
ACTI-0024,73,30119,0.24
PLAT-0008,64,2575,2.43
REG-366491,40,5882,0.68
QDIG-0003,38,527,6.73
DIGI-0100,38,42,47.5
EXOT-0004,29,16851,0.17
MUCH-0003,26,14,65.0
MAKR-0001,23,121,15.97
DOTJ-0001,19,7,73.08
NETH-0006,17,4,80.95
TNET-0001,17,2,89.47
EMAR-0005,16,9,64.0
CAND-0016,15,15,50.0
UXSO-0001,15,9,62.5
SLOV-0006,14,3588,0.39
ZENM-0002,13,39,25.0
MADE-0005,13,1,92.86
MILO-0245,12,166,6.74
MRIO-0022,12,30,28.57
JEEF-0001,12,2,85.71
ONIK-0002,11,134,7.59
GAND-0081,10,403,2.42
DELN-0001,10,69,12.66
MCPO-0003,10,51,16.39
JPDD-0002,10,1,90.91
TOMI-0041,9,4,69.23
SWAN-0004,8,4391,0.18
KEYS-1001,8,2869,0.28
LEVO-0001,8,3,72.73
GABR-0283,8,2,80.0
PORE-0004,8,1,88.89
COMC-0005,7,57,10.94
MARK-0176,7,7,50.0
JOZE-2815,7,2,77.78
AARI-0002,6,41,12.77
SLOV-0063,6,21,22.22
OPEY-0001,6,4,60.0
SYST-0017,6,2,75.0
INFO-0074,6,0,100.0
EURO-1052,5,2394,0.21
SLOV-1417,5,2115,0.24
USRS-0002,5,268,1.83
IXIN-0001,5,188,2.59
TRIT-0008,5,128,3.76
CREO-0007,5,26,16.13
ACRO-0011,5,1,83.33
ELBO-0005,5,1,83.33
UNIV-0040,5,0,100.0
NETI-0001,4,1154,0.35
NAME-0004,4,72,5.26
DECE-0001,4,32,11.11
INTE-0050,4,18,18.18
EURO-0001,4,18,18.18
SAGE-0006,4,10,28.57
SINC-0002,4,2,66.67
MART-2448,4,1,80.0
DIGI-0056,4,0,100.0
SPEE-0025,3,2226,0.13
UBOM-0334,3,1168,0.26
SINT-0001,3,71,4.05
UCOM-0001,3,52,5.45
CREA-0052,3,33,8.33
WEBT-0003,3,25,10.71
FREE-0030,3,9,25.0
SITE-0002,3,6,33.33
SECU-0026,3,3,50.0
ENTI-0007,3,2,60.0
SALA-0008,3,1,75.0
3MTE-0003,3,0,100.0
MBSI-0001,3,0,100.0
WDSG-0001,3,0,100.0
WEBY-0002,2,3469,0.06
MARK-0292,2,1292,0.15
STAN-0022,2,929,0.21
REG-367149,2,830,0.24
DSID-0001,2,446,0.45
MYST-0008,2,435,0.46
RING-0001,2,388,0.51
VISS-0001,2,380,0.52
EPIX-0002,2,342,0.58
TOPZ-0001,2,247,0.8
INET-0003,2,188,1.05
USPO-0002,2,98,2.0
NETM-0006,2,57,3.39
VYKU-0005,2,52,3.7
ANEJ-0257,2,43,4.44
ZERO-0008,2,35,5.41
COMP-0031,2,29,6.45
MARI-1542,2,25,7.41
IUNI-0002,2,22,8.33
RUPK-0001,2,8,20.0
ADAC-0006,2,7,22.22
ZTRO-0001,2,5,28.57
FUSI-0005,2,4,33.33
MAYE-0003,2,2,50.0
NETI-0019,2,1,66.67
SLOV-1138,2,1,66.67
LAER-0002,2,1,66.67
ACCE-0025,2,0,100.0
FINO-0004,2,0,100.0
CSCG-0001,1,3017,0.03
EURO-0005,1,2285,0.04
EVAH-0016,1,1953,0.05
MARE-0015,1,1347,0.07
CROO-0002,1,696,0.14
RJAR-0001,1,669,0.15
WEBC-0006,1,508,0.2
BLUE-0058,1,377,0.26
EURO-0941,1,228,0.44
MILA-0279,1,218,0.46
VDIU-0001,1,201,0.5
SPSE-0001,1,200,0.5
WEBM-0005,1,178,0.56
NROD-0057,1,162,0.61
ABSO-0003,1,155,0.64
CCTE-0001,1,139,0.71
DISC-0015,1,133,0.75
OSYS-0002,1,127,0.78
IMPR-0012,1,124,0.8
ONEC-0007,1,117,0.85
MILL-0001,1,100,0.99
PETE-1200,1,85,1.16
KOLL-0022,1,83,1.19
MCPS-0002,1,82,1.2
BEES-0002,1,78,1.27
CSWE-0002,1,76,1.3
CNSI-0001,1,71,1.39
MSCI-0001,1,65,1.52
VIRT-0017,1,65,1.52
HUGO-0001,1,65,1.52
MARK-0071,1,63,1.56
DOBI-0004,1,62,1.59
GITI-0001,1,60,1.64
STUF-0001,1,58,1.69
GREE-0084,1,51,1.92
KODA-0003,1,48,2.04
PAVO-0635,1,47,2.08
LIFE-0022,1,38,2.56
LEXS-0003,1,35,2.78
BBXI-0001,1,34,2.86
SIEC-0002,1,31,3.12
TREX-0001,1,27,3.57
ARDE-0001,1,27,3.57
BOHD-0018,1,26,3.7
OCSI-0001,1,23,4.17
IDEA-0034,1,23,4.17
RUPO-0002,1,22,4.35
ROMA-0139,1,21,4.55
BANN-0001,1,20,4.76
FAIL-0001,1,18,5.26
MIRO-0569,1,16,5.88
TECH-0064,1,16,5.88
IMRE-0001,1,14,6.67
MARI-0532,1,14,6.67
SENE-0008,1,14,6.67
MIKO-0005,1,10,9.09
AXAL-0001,1,9,10.0
PAVE-0472,1,9,10.0
RADO-0009,1,8,11.11
PREO-0004,1,8,11.11
DNOM-0002,1,7,12.5
SEVI-0002,1,7,12.5
ALES-0005,1,6,14.29
SATR-0001,1,5,16.67
MSIN-0002,1,5,16.67
VYSO-0011,1,4,20.0
HOLT-0004,1,4,20.0
INCI-0004,1,4,20.0
POPN-0001,1,4,20.0
PAVO-1332,1,3,25.0
CGCI-0001,1,3,25.0
TRON-0005,1,3,25.0
AXON-0004,1,3,25.0
WNIX-0001,1,3,25.0
ITRE-0005,1,2,33.33
TSMO-0001,1,2,33.33
TOVA-0001,1,2,33.33
YSIE-0001,1,2,33.33
TPAR-0001,1,1,50.0
GYMN-0001,1,1,50.0
VLAD-0269,1,1,50.0
PCHS-0001,1,1,50.0
JOZE-1831,1,0,100.0
ITCO-0011,1,0,100.0
FCON-0002,1,0,100.0
PETE-3491,1,0,100.0
NEPL-0001,1,0,100.0
UNIV-0032,1,0,100.0
UNIT-0001,0,1535,0.0
REG-366213,0,882,0.0
REG-366501,0,879,0.0
JKMA-0001,0,802,0.0
COML-0001,0,636,0.0
1XIN-0004,0,600,0.0
MAMM-0001,0,587,0.0
SHOP-0007,0,536,0.0
REG-359369,0,443,0.0
SOFT-0061,0,437,0.0
VIDE-0024,0,433,0.0
ALL4-0004,0,422,0.0
FUEL-0002,0,400,0.0
DATA-0008,0,390,0.0
NETR-0002,0,383,0.0
SIXN-0003,0,364,0.0
VISU-0006,0,362,0.0
BART-0039,0,342,0.0
KCOR-0003,0,329,0.0
RAHO-0001,0,324,0.0
LSPO-0001,0,317,0.0
NAME-0005,0,313,0.0
IMAF-0002,0,312,0.0
PROX-0002,0,299,0.0
BRAN-0167,0,270,0.0
SMIR-0001,0,259,0.0
FIRM-0072,0,254,0.0
BSOL-0001,0,248,0.0
IRIS-0004,0,247,0.0
