ID reg,secure domains,insecure domains,percent secure
WEBS-0001,95303,46055,67.42
WEBH-0001,20050,12918,60.82
ACTI-0024,17125,14871,53.52
WEBG-0001,13268,26305,33.53
INCZ-0001,10191,18083,36.04
GRAN-0063CZ,3494,14294,19.64
ELBI-0002,1861,3429,35.18
ZONE-0002,1568,6625,19.14
UBOM-0334,1091,2065,34.57
REG-379549,577,321,64.25
REG-366265,573,246,69.96
RING-0002,296,212,58.27
FUEL-0002,258,818,23.98
REG-361069,153,11802,1.28
K3GR-0001,150,43,77.72
MILO-0245,137,165,45.36
SPSE-0001,133,67,66.5
GAYA-0001,114,50,69.51
REG-366491,113,6280,1.77
NETH-0005,112,730,13.3
Q1SK-0001,89,79,52.98
MSRW-0001,79,193,29.04
CRAP-0001,68,23,74.73
QDIG-0003,46,518,8.16
MCPO-0003,42,75,35.9
EXOT-0004,40,16167,0.25
DIGI-0100,39,36,52.0
KEYS-1001,34,3535,0.95
SPEE-0025,33,2497,1.3
ZERO-0008,33,9,78.57
PLAT-0008,27,2572,1.04
MUCH-0003,23,29,44.23
DSPR-0002,21,22,48.84
CAND-0016,21,15,58.33
USRS-0002,20,247,7.49
ANEJ-0257,19,23,45.24
MAKR-0001,17,137,11.04
EVAH-0016,16,1660,0.95
DATG-0001,16,11,59.26
EMAR-0005,16,8,66.67
MADE-0005,16,6,72.73
UXSO-0001,15,8,65.22
NETH-0006,15,6,71.43
TNET-0001,15,4,78.95
EURO-1052,14,2391,0.58
GAND-0081,13,654,1.95
HUGO-0001,13,45,22.41
ZENM-0002,13,37,26.0
REG-370323,12,8,60.0
SLOV-0006,11,2767,0.4
MARK-0292,11,1576,0.69
BBON-0001,11,7,61.11
JEEF-0001,11,3,78.57
TOMI-0041,11,3,78.57
ONIK-0002,10,195,4.88
BINA-0008,10,67,12.99
MRIO-0022,10,41,19.61
LEVO-0001,10,0,100.0
SWAN-0004,9,3942,0.23
REG-367149,9,981,0.91
AARI-0002,9,49,15.52
CSCG-0001,8,2924,0.27
SOFT-0001,8,77,9.41
ROMA-0139,8,26,23.53
MARK-0176,8,7,53.33
JPDD-0002,8,2,80.0
JOZE-0696,8,1,88.89
NETI-0001,7,1286,0.54
DUVA-0001,7,142,4.7
SLOV-0063,7,23,23.33
WDSG-0001,7,12,36.84
JOZE-2815,7,2,77.78
PORE-0004,7,1,87.5
ACRO-0011,7,1,87.5
EURO-0001,6,55,9.84
PKRK-0001,6,10,37.5
RUPK-0001,6,5,54.55
GABR-0283,6,2,75.0
UNIV-0040,6,1,85.71
SLOV-1417,5,2018,0.25
EPIX-0002,5,334,1.47
IXIN-0001,5,162,2.99
VIRT-0017,5,64,7.25
DELN-0001,5,61,7.58
VYKU-0005,5,43,10.42
CREO-0007,5,20,20.0
PAVE-0472,5,11,31.25
5OKS-0001,5,2,71.43
ELBO-0005,5,1,83.33
SYST-0017,5,1,83.33
WEBY-0002,4,3392,0.12
KCOR-0003,4,327,1.21
SINT-0001,4,71,5.33
COMC-0005,4,57,6.56
MARI-0532,4,17,19.05
SAGE-0006,4,7,36.36
OPEY-0001,4,4,50.0
SINC-0002,4,2,66.67
MART-2448,4,1,80.0
STAN-0022,3,883,0.34
SHOP-0007,3,621,0.48
NETR-0002,3,548,0.54
NEWS-0010,3,201,1.47
NAME-0004,3,75,3.85
UCOM-0001,3,50,5.66
COOL-0033,3,40,6.98
GLOB-0006,3,34,8.11
DECE-0001,3,32,8.57
ARDE-0001,3,28,9.68
FREE-0030,3,10,23.08
ADAC-0006,3,9,25.0
SITE-0002,3,8,27.27
SILV-0177,3,7,30.0
RING-0001,3,7,30.0
HAKO-0002,3,4,42.86
SECU-0026,3,2,60.0
INCI-0004,3,2,60.0
AINF-0003,3,1,75.0
DIGI-0056,3,1,75.0
TOPA-0004,3,0,100.0
UNIT-0001,2,1542,0.13
DSID-0001,2,475,0.42
TOPZ-0001,2,266,0.75
EURO-0941,2,223,0.89
INET-0003,2,183,1.08
NROD-0057,2,167,1.18
IMPR-0012,2,130,1.52
KOLL-0022,2,124,1.59
TRIT-0008,2,105,1.87
GREE-0084,2,89,2.2
USPO-0002,2,79,2.47
COMP-0031,2,34,5.56
MIRO-0678,2,33,5.71
CREA-0052,2,29,6.45
MART-1768,2,27,6.9
IUNI-0002,2,24,7.69
OCSI-0001,2,19,9.52
RUPO-0002,2,19,9.52
INTE-0050,2,16,11.11
ALTR-1000,2,15,11.76
DNOM-0002,2,14,12.5
JOZE-1831,2,4,33.33
XONI-0006,2,3,40.0
JURA-1254,2,3,40.0
NLOV-0002,2,3,40.0
MAYE-0003,2,2,50.0
ENTI-0007,2,2,50.0
KONG-0002,2,2,50.0
SALA-0008,2,2,50.0
3MTE-0003,2,1,66.67
MBSI-0001,2,1,66.67
NETI-0019,2,1,66.67
WEBK-0002,2,1,66.67
ACCE-0025,2,0,100.0
FINO-0004,2,0,100.0
