ID reg,secure domains,insecure domains,percent secure
WEBS-0001,99393,46388,68.18
WEBH-0001,19364,13070,59.7
ACTI-0024,16926,14583,53.72
WEBG-0001,12921,23581,35.4
INCZ-0001,10345,17492,37.16
GRAN-0063CZ,3767,14939,20.14
ZONE-0002,1919,5782,24.92
ELBI-0002,1820,3229,36.05
UBOM-0334,1421,2444,36.77
REG-379549,573,335,63.11
REG-366265,558,241,69.84
RING-0002,465,287,61.84
FUEL-0002,420,551,43.25
DEKA-0001,253,95,72.7
REG-361069,163,12113,1.33
REG-366491,157,6011,2.55
K3GR-0001,149,46,76.41
MILO-0245,139,164,45.87
NETH-0005,136,697,16.33
SPSE-0001,128,72,64.0
GAYA-0001,112,49,69.57
MSRW-0001,103,411,20.04
Q1SK-0001,89,87,50.57
CRAP-0001,67,26,72.04
QDIG-0003,49,531,8.45
EXOT-0004,46,15752,0.29
KEYS-1001,45,3968,1.12
SPEE-0009,45,29,60.81
SPEE-0025,44,2517,1.72
MCPO-0003,41,77,34.75
DIGI-0100,38,39,49.35
USRS-0002,36,246,12.77
FINA-0062,33,22,60.0
ZERO-0008,32,12,72.73
GAND-0081,30,2547,1.16
PLAT-0008,28,2621,1.06
METR-0006,27,8,77.14
AZTE-0001,24,5,82.76
MUCH-0003,22,34,39.29
SLOV-0063,22,7,75.86
DSPR-0002,20,24,45.45
IT7I-0001,20,21,48.78
ANEJ-0257,17,14,54.84
DATG-0001,17,10,62.96
EMAR-0005,17,7,70.83
CSCG-0001,16,2982,0.53
EVAH-0016,16,1445,1.1
MAKR-0001,16,123,11.51
MADE-0005,16,5,76.19
NETH-0006,16,4,80.0
NETI-0001,15,1457,1.02
MARK-0292,14,1616,0.86
USTA-0001,14,17,45.16
TNET-0001,14,4,77.78
EURO-1052,13,2447,0.53
REG-367149,13,997,1.29
HUGO-0001,13,37,26.0
UXSO-0001,13,9,59.09
DUVA-0001,12,217,5.24
ONIK-0002,11,216,4.85
MRIO-0022,11,41,21.15
BBON-0001,11,8,57.89
REG-370323,10,9,52.63
SLOV-0006,9,2644,0.34
BINA-0008,9,128,6.57
ZERG-0001,9,98,8.41
SOFT-0001,9,82,9.89
SSTR-0001,9,16,36.0
PKRK-0001,9,10,47.37
TOMI-0041,9,6,60.0
JEEF-0001,9,5,64.29
LEVO-0001,9,1,90.0
SWAN-0002,8,3587,0.22
AARI-0002,8,55,12.7
ROMA-0139,8,24,25.0
BELN-0002,8,13,38.1
ALTR-1000,8,12,40.0
COMC-0006,8,10,44.44
MARK-0176,8,7,53.33
JPDD-0002,8,2,80.0
JOZE-0696,8,1,88.89
SHOP-0007,7,664,1.04
KCOR-0003,7,308,2.22
EURO-0001,7,55,11.29
VRRO-0001,7,34,17.07
ZENM-0002,7,12,36.84
ACRO-0011,7,2,77.78
UNIV-0040,7,2,77.78
SINT-0001,6,67,8.22
VYKU-0005,6,42,12.5
WDSG-0001,6,18,25.0
CAVS-0002,6,6,50.0
JOZE-2815,6,4,60.0
PORE-0004,6,1,85.71
ITRE-0005,6,1,85.71
STAN-0022,5,881,0.56
IXIN-0001,5,146,3.31
COMC-0005,5,63,7.35
DELN-0001,5,62,7.46
SAND-0001,5,36,12.2
WEBT-0003,5,23,17.86
CREO-0007,5,14,26.32
PAVE-0472,5,11,31.25
RUPK-0001,5,6,45.45
OPEY-0001,5,3,62.5
GABR-0283,5,3,62.5
5OKS-0001,5,1,83.33
MART-2448,5,1,83.33
SINC-0002,5,1,83.33
SYST-0017,5,0,100.0
WEBY-0002,4,3355,0.12
SLOV-1417,4,1978,0.2
EPIX-0002,4,325,1.22
NAME-0004,4,76,5.0
VIRT-0100,4,6,40.0
SAGE-0006,4,6,40.0
ELBO-0005,4,2,66.67
MAYE-0003,4,0,100.0
MYST-0008,3,444,0.67
TOPZ-0001,3,271,1.09
NEWS-0010,3,201,1.47
UCOM-0001,3,52,5.45
COOL-0033,3,38,7.32
CAND-0016,3,36,7.69
GLOB-0006,3,34,8.11
DECE-0001,3,32,8.57
SREK-1337,3,25,10.71
MARI-0532,3,17,15.0
FREE-0030,3,9,25.0
HAKO-0002,3,4,42.86
INCI-0004,3,3,50.0
SECU-0026,3,2,60.0
AINF-0003,3,1,75.0
DIGI-0056,3,1,75.0
TOPA-0004,3,0,100.0
UNIT-0001,2,1572,0.13
MARE-0015,2,1403,0.14
ASCI-0001,2,1391,0.14
REG-366501,2,751,0.27
DSID-0001,2,470,0.42
LSPO-0001,2,341,0.58
SIXN-0003,2,336,0.59
BRAN-0167,2,247,0.8
UNIO-0012,2,232,0.85
NROD-0057,2,176,1.12
KOLL-0022,2,102,1.92
TRIT-0008,2,101,1.94
GREE-0084,2,95,2.06
LEXS-0003,2,48,4.0
MADW-0001,2,37,5.13
COMP-0031,2,33,5.71
MIRO-0678,2,32,5.88
CREA-0052,2,29,6.45
ARDE-0001,2,29,6.45
IUNI-0002,2,24,7.69
RUPO-0002,2,19,9.52
ABCO-0010,2,16,11.11
FAIL-0001,2,15,11.76
DNOM-0002,2,9,18.18
ADAC-0006,2,9,18.18
STRI-1000,2,9,18.18
SITE-0002,2,9,18.18
ATLS-1000,2,8,20.0
RING-0001,2,8,20.0
JOZE-1831,2,6,25.0
FUSI-0005,2,4,33.33
XONI-0006,2,3,40.0
JURA-1254,2,3,40.0
NLOV-0002,2,3,40.0
ENTI-0007,2,2,50.0
KONG-0002,2,2,50.0
3MTE-0003,2,1,66.67
HGDA-0001,2,1,66.67
ACCE-0025,2,0,100.0
FINO-0004,2,0,100.0
GYMN-0001,2,0,100.0
EURO-0005,1,2083,0.05
INTX-0001,1,1438,0.07
CROO-0002,1,617,0.16
MAMM-0001,1,592,0.17
WEBC-0006,1,559,0.18
REG-359369,1,506,0.2
NAME-0005,1,396,0.25
BLUE-0058,1,378,0.26
PSCH-0001,1,327,0.3
RAHO-0001,1,317,0.31
IRIS-0004,1,267,0.37
EURO-0941,1,226,0.44
VLAD-0050,1,215,0.46
VDIU-0001,1,205,0.49
INET-0003,1,178,0.56
CCTE-0001,1,138,0.72
KIOS-0003,1,134,0.74
DISC-0015,1,133,0.75
IMPR-0012,1,130,0.76
REG-366291,1,116,0.85
ERIT-0002,1,107,0.93
ZOOO-0001,1,92,1.08
ZOZN-0001,1,90,1.1
MILL-0001,1,87,1.14
MCPS-0002,1,74,1.33
USPO-0002,1,73,1.35
NETB-0006,1,72,1.37
VIRT-0017,1,68,1.45
DOBI-0004,1,64,1.54
KODA-0003,1,64,1.54
MSCI-0001,1,54,1.82
LIRI-0001,1,52,1.89
XGTE-0001,1,50,1.96
ALFA-0093,1,50,1.96
BBXI-0001,1,48,2.04
PAVO-0635,1,45,2.17
MTSY-0001,1,42,2.33
BEES-0002,1,42,2.33
DATA-0012,1,38,2.56
NETI-0010,1,36,2.7
CNCI-0001,1,33,2.94
ERSH-0004,1,32,3.03
SULA-0001,1,32,3.03
IDEA-0034,1,26,3.7
TECH-0064,1,24,4.0
MARI-1542,1,23,4.17
BANN-0001,1,20,4.76
TREX-0001,1,20,4.76
KLIN-0010,1,19,5.0
MIRO-0569,1,18,5.26
RESI-0013,1,15,6.25
MILO-0114,1,14,6.67
TERN-0003,1,14,6.67
SENE-0008,1,12,7.69
RNJA-0006,1,11,8.33
INVE-0102,1,11,8.33
ETFI-0001,1,11,8.33
PREO-0004,1,9,10.0
INTE-0050,1,8,11.11
SK-NIC,1,8,11.11
SEVI-0002,1,7,12.5
DOTN-0002,1,7,12.5
FECO-0003,1,7,12.5
BREZ-0008,1,6,14.29
DIGI-0086,1,6,14.29
SATR-0001,1,5,16.67
MSIN-0002,1,5,16.67
CGCI-0001,1,4,20.0
AXAL-0001,1,4,20.0
VYSO-0011,1,4,20.0
POPN-0001,1,4,20.0
TRON-0005,1,3,25.0
WNIX-0001,1,3,25.0
FOUR-0008,1,3,25.0
MBSI-0001,1,2,33.33
NETI-0019,1,2,33.33
TSMO-0001,1,2,33.33
TPAR-0001,1,1,50.0
SALA-0008,1,1,50.0
LUKS-0020,1,1,50.0
PETE-0614,1,1,50.0
VLAD-0269,1,1,50.0
PCHS-0001,1,1,50.0
SLOV-1138,1,1,50.0
WEBK-0002,1,1,50.0
AMAN-0100,1,0,100.0
ITCO-0011,1,0,100.0
FCON-0002,1,0,100.0
ATCO-0005,1,0,100.0
PETE-3491,1,0,100.0
IMRE-0001,1,0,100.0
NEPL-0001,1,0,100.0
SEBS-0001,1,0,100.0
UNIV-0032,1,0,100.0
YSIE-0001,1,0,100.0
JKMA-0001,0,840,0.0
COML-0001,0,708,0.0
NETR-0002,0,564,0.0
VISS-0001,0,495,0.0
1XIN-0004,0,484,0.0
SOFT-0061,0,430,0.0
ALL4-0004,0,401,0.0
DATA-0008,0,377,0.0
IMAF-0002,0,308,0.0
BART-0039,0,301,0.0
PROX-0002,0,298,0.0
NEON-0010,0,276,0.0
TBAN-0001,0,242,0.0
ADEM-0001,0,240,0.0
SMIR-0001,0,237,0.0
PORT-0001,0,236,0.0
ROMA-0522,0,234,0.0
2V1I-0001,0,229,0.0
BSOL-0001,0,207,0.0
MEDI-0478,0,201,0.0
MARE-0222,0,198,0.0
BACK-0004,0,197,0.0
VDAT-0001,0,197,0.0
COMT-0006,0,193,0.0
ACSI-0001,0,190,0.0
INVE-0001,0,186,0.0
ALEX-0152,0,176,0.0
DUST-0001,0,172,0.0
MICH-2017,0,172,0.0
WEBM-0005,0,168,0.0
NAME-0002,0,168,0.0
AISI-0001,0,164,0.0
DATU-0001,0,159,0.0
SCHO-0002,0,152,0.0
WSOI-0001,0,148,0.0
SOLT-0001,0,146,0.0
ABSO-0003,0,145,0.0
FORM-0001,0,145,0.0
ACTI-0001,0,144,0.0
MEDI-0306,0,141,0.0
KRIS-0038,0,140,0.0
REG-366521,0,137,0.0
ZUTO-0002,0,131,0.0
EVCM-0001,0,129,0.0
ISFU-0001,0,129,0.0
ONEC-0007,0,122,0.0
STRA-0032,0,118,0.0
CSWE-0002,0,117,0.0
OSYS-0002,0,117,0.0
PETE-2105,0,116,0.0
JNST-0001,0,115,0.0
REG-366851,0,115,0.0
AGLO-0004,0,114,0.0
2CRE-0001,0,113,0.0
TOOL-0014,0,113,0.0
NETS-0009,0,111,0.0
ANTI-0002,0,109,0.0
IVAN-0789,0,109,0.0
PRIM-1000,0,106,0.0
IDES-0002,0,105,0.0
GRMA-0001,0,104,0.0
LOMB-0002,0,103,0.0
ESKO-0004,0,102,0.0
MILA-0496,0,101,0.0
JERE-0001,0,100,0.0
NEXU-0004,0,95,0.0
WISK-0001,0,94,0.0
RADI-0025,0,92,0.0
ZPAD-0015,0,92,0.0
MTSD-0002,0,91,0.0
INAT-0001,0,88,0.0
POTO-0004,0,87,0.0
GWEB-0001,0,87,0.0
NETI-0015,0,87,0.0
SSIN-0002,0,86,0.0
INTE-0002,0,86,0.0
PAED-0069,0,85,0.0
MATT-0005,0,85,0.0
VIRT-0026,0,85,0.0
AGRI-0040,0,85,0.0
AXON-0001,0,83,0.0
PEGO-0002,0,83,0.0
ORAN-0003,0,83,0.0
CITY-0005,0,83,0.0
PETE-1200,0,82,0.0
BUTT-0004,0,82,0.0
VONE-0004,0,82,0.0
PATR-0050,0,81,0.0
IVAN-0021,0,81,0.0
GIRO-0002,0,79,0.0
JMKM-0001,0,79,0.0
MIRO-0021,0,78,0.0
ZZOL-0001,0,77,0.0
NTRA-0002,0,76,0.0
SAIN-0001,0,75,0.0
PCIN-0003,0,75,0.0
ALKA-0001,0,75,0.0
XTEC-0002,0,74,0.0
SLOV-1149,0,74,0.0
TEMP-0003,0,73,0.0
VLAD-0422,0,72,0.0
3IN1-0001,0,71,0.0
INET-0011,0,71,0.0
JBED-0002,0,71,0.0
MILA-0055,0,70,0.0
SEDA-0008,0,70,0.0
ESQU-0001,0,70,0.0
AAPR-0001,0,70,0.0
TOMN-0006,0,70,0.0
ACOM-0011,0,69,0.0
VRMD-0001,0,69,0.0
MARK-0071,0,69,0.0
JIMI-0002,0,68,0.0
CAPP-0001,0,68,0.0
HOST-0015,0,67,0.0
STUF-0001,0,65,0.0
VOLK-0002,0,65,0.0
INCO-0029,0,64,0.0
4CUB-0001,0,63,0.0
TECH-0261,0,63,0.0
NETK-0006,0,62,0.0
WDTI-0001,0,62,0.0
CREA-0039,0,62,0.0
MIRO-0433,0,61,0.0
IREA-0001,0,60,0.0
ROMA-0002,0,59,0.0
GITI-0001,0,59,0.0
MOVA-0002,0,58,0.0
MAQU-0001,0,58,0.0
QUAN-0012,0,57,0.0
PETE-0332,0,56,0.0
COMC-0008,0,56,0.0
NETW-0003,0,55,0.0
KREM-0007,0,55,0.0
ELET-0004,0,55,0.0
TSYS-0001,0,54,0.0
AKCE-0001,0,53,0.0
ADIS-0001,0,53,0.0
CIDI-0002,0,53,0.0
COMB-0006,0,52,0.0
WIFI-0003,0,52,0.0
COMS-0013,0,52,0.0
FUTU-0010,0,52,0.0
ENER-0011,0,52,0.0
DATA-0022,0,52,0.0
DONL-0002,0,51,0.0
QSOF-0003,0,51,0.0
SOTO-0001,0,51,0.0
WEBR-0001,0,51,0.0
KONF-1000,0,50,0.0
CREA-0014,0,50,0.0
NETM-0006,0,50,0.0
SIGN-0001,0,50,0.0
GAMP-0015,0,50,0.0
SECU-0028,0,50,0.0
GLOB-0022,0,50,0.0
A-CO-0001,0,49,0.0
RLAM-0001,0,49,0.0
COME-0017,0,49,0.0
VALT-0001,0,49,0.0
PETE-2374,0,48,0.0
SLAV-0008,0,48,0.0
CRYS-0009,0,48,0.0
ELIT-0012,0,48,0.0
FAJN-0002,0,47,0.0
INTI-0001,0,46,0.0
FIBR-0003,0,46,0.0
ZENT-0003,0,46,0.0
PINF-0001,0,45,0.0
NET2-0001,0,44,0.0
WSIT-0001,0,44,0.0
PFGE-0001,0,44,0.0
BAIT-0004,0,44,0.0
TART-0001,0,43,0.0
PCOM-0001,0,42,0.0
LLAR-0001,0,42,0.0
MSPO-0001,0,42,0.0
UNIV-0027,0,42,0.0
MART-0715,0,41,0.0
DUOC-0003,0,41,0.0
DATY-0001,0,41,0.0
DUAN-0016,0,41,0.0
PETE-0060,0,41,0.0
DIAD-0005,0,40,0.0
